IDENTIFIER: Reference ID,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm)
13,Al0.75 Co1 Cr1 Cu0.25 Fe1 Ni1 Ti0.5,FCC+BCC,CAST,other,,,6.8,,C,25,1900,2697,,12,164,,,,
13,Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,FCC,CAST,FCC,,,7.8,,C,25,700,1650,,29,93,194,,,
14,Al1 Co1 Cr1 Fe1 Ni1 Ti1,BCC+BCC,CAST,other,,,6.2,,C,25,1860,2580,10.7,9,90,,,,
14,Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,BCC+BCC,CAST,other,,,6.4,178,C,25,2260,3140,24.4,23,178,,,,
14,Al0.667 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti1,BCC+Sec.,CAST,other,,,6.1,,C,25,2220,2720,6.6,5,160,,,,
15,Al1 Co1 Cr1 Fe1 Ni1 Ti1 V1 Zr1,,CAST,other,,,6.3,780,,25,,,,,,,,,
15,Al1 Co1 Fe1 Ni1 Ti1 V1 Zr1,BCC,CAST,BCC,,,6.2,790,,25,,,,,,129,,,
15,Al1 Fe1 Ni1 Ti1 V1 Zr1,BCC,CAST,BCC,,,5.9,800,,25,,,,,,119,,,
15,Co1 Cr1 Cu1 Fe1 Ni1 Ti1 V1 Zr1,,CAST,other,,,7.1,680,,25,,,,,,,,,
15,Co1 Cr1 Fe1 Mo1 Ni1 Ti1 V1 Zr1,,CAST,other,,,7.3,850,,25,,,,,,,,,
15,Co1 Cu1 Fe1 Ni1 Ti1 V1 Zr1,,CAST,other,,,7.1,630,,25,,,,,,,,,
15,Co1 Fe1 Mo1 Ni1 Ti1 V1 Zr1,,CAST,other,,,7.3,790,,25,,,,,,,,,
15,Cu1 Fe1 Ni1 Ti1 V1 Zr1,,CAST,other,,,6.8,590,,25,,,,,,,,,
15,Fe1 Mo1 Ni1 Ti1 V1 Zr1,BCC+Sec.,CAST,other,,,7.1,740,,25,,,,,,,,,
16,Al0.1 Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,,,7.9,180,,25,,,,,,216,,,
16,Al0.2 Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,,,7.7,171,T,25,220,,56,,,212,,,
16,Al0.38 Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,,,7.5,182,T,25,244,,45,,,205,,,
16,Al0.43 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,7.4,183,T,25,285,,35,,,,,,
16,Al0.49 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,7.4,220,T,25,331,,29,,,,,,
16,Al0.56 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,7.3,278,T,25,526,,16,,,,,,
16,Al0.62 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,7.2,405,T,25,833,,5,,,,,,
16,Al0.68 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,7.2,486,,25,,,,,,,,,
16,Al0.75 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,7.1,530,,25,,,,,,,,,
16,Al0.81 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,7,539,,25,,,,,,,,,
16,Al0.88 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,7,533,,25,,,,,,,,,
16,Al0.95 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,6.9,535,,25,,,,,,,,,
16,Al1 Co0.8 Cr0.8 Fe0.8 Mn0.8 Ni0.8,BCC,CAST,BCC,,,6.6,539,,25,,,,,,180,,,
16,Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,,,8,176,T,25,208,,62,,,220,,,
17,Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,300,,8,144,C,25,,,,,,220,,,
17,Co1 Cr1 Fe1 Mn1 Ni1,FCC,ANNEAL,FCC,350,,8,135,C,25,230,,,75,,220,,,
17,Co1 Cr1 Fe1 Mn1 Ni1 V0.25,FCC,CAST,FCC,120,,7.9,151,C,25,,,,,,215,,,
17,Co1 Cr1 Fe1 Mn1 Ni1 V0.25,FCC+Sec.,ANNEAL,other,130,,7.9,144,C,25,200,,,75,,,,,
17,Co1 Cr1 Fe1 Mn1 Ni1 V0.5,FCC,CAST,FCC,220,,7.8,186,C,25,,,,,,210,,,
17,Co1 Cr1 Fe1 Mn1 Ni1 V0.5,FCC,ANNEAL,FCC,250,,7.8,275,C,25,620,,,75,,210,,,
17,Co1 Cr1 Fe1 Mn1 Ni1 V0.75,FCC+Sec.,ANNEAL,other,500,,7.7,380,C,25,740,1325,,7.8,,,,,
17,Co1 Cr1 Fe1 Mn1 Ni1 V0.75,FCC+Sec.,CAST,other,500,,7.7,342,C,25,,,,,,,,,
17,Co1 Cr1 Fe1 Mn1 Ni1 V1,FCC+Sec.,ANNEAL,other,12,,7.7,636,C,25,1660,1845,,0.5,,,,,
17,Co1 Cr1 Fe1 Mn1 Ni1 V1,FCC+Sec.,CAST,other,,,7.7,650,C,25,,,,,,,,,
18,Al0.2 Cr0.667 Fe1 Mn0.667 Ni0.333,FCC+BCC,CAST,other,,,7.2,297,,25,,,,,,,,,
18,Al0.333 Cr0.667 Fe1 Mn0.667 Ni0.333,BCC,CAST,BCC,,,7,396,,25,,,,,,201,,,
19,Al1 Cr1 Fe1 Ni1,BCC+B2,CAST,other,,,6.3,472,C,25,1406,2927,,29,,,,,
19,Al1 Cr1 Fe1 Mo1 Ni1,B2+Sec.,CAST,other,,,7.2,905,,25,,,,,,,,,
19,Al1 Cr1 Fe1 Mo0.2 Ni1,BCC+B2,CAST,other,,,6.5,549,C,25,1487,3222,,29,,,,,
19,Al1 Cr1 Fe1 Mo0.5 Ni1,BCC+B2,CAST,other,,,6.8,622,C,25,1749,2644,,13,,,,,
19,Al1 Cr1 Fe1 Mo0.8 Ni1,B2+Sec.,CAST,other,,,7,854,C,25,1513,1513,,0,,,,,
20,Al0.3 Co1 Cr1 Cu1 Fe1,FCC,,FCC,,,7.7,180,,25,,,,,,194,,,
20,Al0.5 Co1 Cr1 Cu1 Fe1,FCC,,FCC,,,7.4,207,,25,,,,,,187,,,
20,Al0.8 Co1 Cr1 Cu1 Fe1,FCC+BCC,,other,,,7,271,,25,,,,,,,,,
20,Al1 Co0.769 Cr0.769 Cu0.769 Fe0.769,FCC+BCC,,other,,,6.5,476,,25,,,,,,,,,
20,Al1 Co0.667 Cr0.667 Cu0.667 Fe0.667,FCC+BCC,,other,,,6.3,510,,25,,,,,,,,,
20,Al1 Co0.556 Cr0.556 Cu0.556 Fe0.556,FCC+BCC,,other,,,6.1,557,,25,,,,,,,,,
20,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5,FCC+BCC,,other,,,5.9,567,,25,,,,,,,,,
20,Al1 Co0.435 Cr0.435 Cu0.435 Fe0.435,FCC+BCC,,other,,,5.7,603,,25,,,,,,,,,
20,Al1 Co0.4 Cr0.4 Cu0.4 Fe0.4,FCC+BCC,,other,,,5.6,624,,25,,,,,,,,,
20,Al1 Co0.357 Cr0.357 Cu0.357 Fe0.357,BCC,,BCC,,,5.5,657,,25,,,,,,139,,,
20,Al1 Co0.333 Cr0.333 Cu0.333 Fe0.333,BCC,,BCC,,,5.4,644,,25,,,,,,136,,,
20,Al1 Co1 Cr1 Cu1 Fe1,FCC+BCC,,other,,,6.8,407,,25,,,,,,,,,
20,Co1 Cr1 Cu1 Fe1,FCC,,FCC,,,8.2,134,,25,,,,,,208,,,
21,Co1 Cr1 Cu0.5 Fe1 Ni1,FCC,CAST,FCC,,,8.3,172,,25,,,,,,215,,,
22,Co1 Cr1 Cu1 Fe1 Ni1 Ti1,FCC,CAST,FCC,,,7.4,,C,25,1272,1272,2,0,,185,,,
22,Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,FCC,CAST,FCC,,,7.8,,C,25,700,1650,22,21.6,,194,,,
22,Co1 Cr1 Cu1 Fe1 Ni1 Ti0.8,FCC+Sec.,CAST,other,,,7.6,,C,25,1042,1848,3,2.11,,,,,
23,Al0.5 B0.2 Co1 Cr1 Cu1 Fe1 Ni1,,CAST,other,,,7.5,415,,25,,,,,,,,,
23,Al0.5 B0.6 Co1 Cr1 Cu1 Fe1 Ni1,,CAST,other,,,7.3,505,,25,,,,,,,,,
23,Al0.5 B1 Co1 Cr1 Cu1 Fe1 Ni1,,CAST,other,,,7.1,736,,25,,,,,,,,,
23,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,CAST,other,,,7.6,300,,25,,,,,,,,,
24,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,225,,25,,,,,,189,,,
24,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti1,FCC+BCC+Sec.,CAST,other,,,7,636,,25,,,,,,,,,
24,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.2,FCC,CAST,FCC,,,7.5,272,,25,,,,,,185,,,
24,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.4,FCC,CAST,FCC,,,7.3,321,,25,,,,,,182,,,
24,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.6,FCC+BCC,CAST,other,,,7.2,458,,25,,,,,,,,,
24,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.8,FCC+BCC+Sec.,CAST,other,,,7.1,590,,25,,,,,,,,,
24,Al0.417 Co0.833 Cr0.833 Cu0.833 Fe0.833 Ni0.833 Ti1,FCC+BCC+Sec.,CAST,other,,,6.9,646,,25,,,,,,,,,
24,Al0.357 Co0.714 Cr0.714 Cu0.714 Fe0.714 Ni0.714 Ti1,FCC+BCC+B2+Sec.,CAST,other,,,6.8,664,,25,,,,,,,,,
24,Al0.312 Co0.625 Cr0.625 Cu0.625 Fe0.625 Ni0.625 Ti1,FCC+BCC+B2+Sec.,CAST,other,,,6.7,657,,25,,,,,,,,,
24,Al0.278 Co0.556 Cr0.556 Cu0.556 Fe0.556 Ni0.556 Ti1,FCC+BCC+B2+Sec.,CAST,other,,,6.6,667,,25,,,,,,,,,
24,Al0.25 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5 Ti1,FCC+BCC+B2+Sec.,CAST,other,,,6.5,696,,25,,,,,,,,,
25,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,215,,25,,,,,,189,,,
25,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.2,FCC,CAST,FCC,,,7.6,204,,25,,,,,,186,,,
25,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.4,FCC+BCC,CAST,other,,,7.5,231,,25,,,,,,,,,
25,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.6,FCC+BCC+Sec.,CAST,other,,,7.5,328,,25,,,,,,,,,
25,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.8,FCC+BCC+Sec.,CAST,other,,,7.4,447,,25,,,,,,,,,
25,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V1,FCC+BCC+Sec.,CAST,other,,,7.4,639,,25,,,,,,,,,
25,Al0.417 Co0.833 Cr0.833 Cu0.833 Fe0.833 Ni0.833 V1,BCC,CAST,BCC,,,7.3,579,,25,,,,,,177,,,
25,Al0.357 Co0.714 Cr0.714 Cu0.714 Fe0.714 Ni0.714 V1,BCC,CAST,BCC,,,7.3,577,,25,,,,,,175,,,
25,Al0.312 Co0.625 Cr0.625 Cu0.625 Fe0.625 Ni0.625 V1,BCC,CAST,BCC,,,7.2,594,,25,,,,,,174,,,
25,Al0.278 Co0.556 Cr0.556 Cu0.556 Fe0.556 Ni0.556 V1,BCC,CAST,BCC,,,7.2,597,,25,,,,,,172,,,
25,Al0.25 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5 V1,BCC,CAST,BCC,,,7.2,587,,25,,,,,,171,,,
