li,re,n,ta,zr,ce,hf,id,mo,p,y,zn,ag,cu,mg,pb,ga,sn,ti,o,s,b,co,v,sc,ca,nb,al,mn,se,cr,la,pd,nd,w,as,fe,ni,si,c,yield strength,tensile strength,elongation,source
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.94,0.01,0.0,0.0,0.27,0.03,0.01,0.0,13.99,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.03,0.16,1169.4,1603.4,21.8,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.06,0.01,0.0,0.0,0.08,0.03,0.01,0.0,12.51,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.51,0.2,1322.1,1770.7,17.8,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,8.62,0.01,0.0,0.0,0.01,1.22,0.01,0.0,11.14,0.0,0.0,0.0,0.0,0.0,0.0,8.01,0.01,0.01,1870.6,1970.6,11.5,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,15.3,0.01,0.0,0.0,0.01,0.03,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,15.1,0.01,0.01,1580.0,1675.6,13.6,matminer
0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.49,0.46,0.0,0.0,0.01,0.05,0.01,0.0,14.48,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.15,1164.4,2032.6,4.0,matminer
0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,5.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.45,0.87,0.0,0.0,0.01,0.05,0.01,0.0,14.34,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.16,1550.3,2122.1,12.0,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0,11.8,0.01,0.0,0.0,0.01,0.17,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.05,0.01,2381.6,2436.8,9.3,matminer
0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,5.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.48,0.41,0.0,0.0,0.01,0.05,0.01,0.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.21,1405.6,2122.1,12.0,matminer
0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,5.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.45,0.46,0.0,0.0,0.01,0.05,0.01,0.0,14.58,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.21,1529.6,2108.3,12.0,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,8.55,0.01,0.0,0.0,0.01,1.21,0.01,0.0,10.96,0.0,0.0,0.0,0.0,0.0,0.0,7.97,0.01,0.01,1825.8,1953.3,11.0,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.95,0.01,0.0,0.0,0.01,0.03,0.43,0.0,12.53,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.5,0.21,1352.2,1839.4,19.0,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,8.51,0.01,0.0,0.0,0.01,1.19,0.01,0.0,10.97,0.0,0.0,0.0,0.0,0.0,0.0,7.99,0.01,0.0,1837.9,1949.8,12.5,matminer
0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0.01,0.0,0.0,0.01,0.03,0.57,0.0,11.76,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.32,0.07,1133.4,1931.2,13.4,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.62,0.01,0.0,0.0,0.08,0.03,0.01,0.0,14.09,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.2,1358.2,1841.4,13.8,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.88,0.01,0.0,0.0,0.08,0.03,0.01,0.0,12.58,0.0,0.0,0.0,0.0,0.0,0.0,0.94,1.99,0.21,1354.2,1769.8,19.1,matminer
0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,0.01,0.0,0.0,0.01,0.03,0.66,0.0,12.28,0.0,0.0,0.0,8.0,0.0,0.0,0.01,0.27,0.09,1081.1,1678.6,5.8,matminer
0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,5.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.48,0.43,0.0,0.0,0.01,0.03,0.01,0.0,14.52,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.12,1515.8,2101.5,6.0,matminer
0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,5.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.64,0.41,0.0,0.0,0.01,0.03,0.01,0.0,14.26,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.17,1502.0,2094.6,11.0,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.0,15.3,0.01,0.0,0.0,0.01,0.76,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.05,0.01,2157.3,2239.3,8.5,matminer
0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,5.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.01,0.0,0.0,0.01,0.03,0.55,0.0,12.29,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.27,0.04,1287.4,1891.1,11.0,matminer
0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.56,0.46,0.0,0.0,0.01,0.03,0.01,0.0,14.48,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.08,1311.4,2016.5,13.3,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.56,0.01,0.0,0.0,0.01,0.03,0.51,0.0,12.66,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.52,0.2,1245.4,1754.6,18.5,matminer
0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,0.01,0.0,0.0,0.01,0.03,0.51,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.32,0.1,1155.0,1848.0,13.4,matminer
0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.45,0.41,0.0,0.0,0.01,0.05,0.01,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.12,1322.9,1984.3,16.0,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,15.0,0.01,0.0,0.0,0.01,0.03,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,14.8,0.01,0.01,1571.2,1701.7,10.6,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,8.7,0.43,0.0,0.0,0.01,0.95,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,18.5,0.01,0.01,1288.4,1453.8,20.0,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,9.2,0.01,0.0,0.0,0.01,0.02,0.01,0.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.86,0.02,1143.7,1350.4,17.0,matminer
0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,5.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.45,0.01,0.0,0.0,0.01,0.07,0.01,0.0,14.36,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.16,1460.7,2067.0,12.0,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,0.01,0.0,0.0,0.01,0.03,0.51,0.0,12.59,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.51,0.2,1300.3,1741.5,17.9,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,13.0,0.28,0.0,0.0,0.01,0.03,0.01,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.01,0.24,1309.1,1757.0,14.3,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.01,0.0,0.0,0.01,0.05,0.01,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.15,1338.0,1792.7,14.1,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,8.8,0.01,0.0,0.0,0.01,1.02,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,18.5,0.01,0.01,1309.1,1495.1,19.0,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,15.3,0.01,0.0,0.0,0.01,0.03,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,14.9,0.01,0.01,1669.3,1726.8,10.8,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.83,0.01,0.0,0.0,0.08,0.03,0.01,0.0,12.63,0.0,0.0,0.0,0.0,0.0,0.0,0.94,1.5,0.2,1382.2,1764.8,18.5,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,10.48,0.01,0.0,0.0,0.01,0.39,0.01,0.0,8.14,0.0,0.0,0.0,0.0,0.0,0.0,11.95,0.01,0.01,1768.0,1828.6,,matminer
0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0.01,0.0,0.0,0.01,0.03,0.63,0.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.37,0.09,1131.9,1595.4,13.4,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33,0.21,0.0,0.0,0.01,0.03,0.01,0.0,14.13,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.01,0.15,1341.7,1745.5,18.5,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,7.48,0.01,0.0,0.0,0.01,0.43,0.01,0.0,11.85,0.0,0.0,0.0,0.0,0.0,0.0,10.25,0.01,0.0,1586.7,1671.3,,matminer
0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,5.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.96,0.01,0.0,0.0,0.01,0.03,0.01,0.0,10.09,0.0,0.0,0.0,0.0,0.0,0.0,6.98,0.01,0.0,1373.9,1640.2,11.4,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,8.7,0.39,0.0,0.0,0.01,0.51,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,18.5,0.01,0.01,1164.4,1371.1,22.0,matminer
0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33,0.97,0.0,0.0,0.01,0.05,0.01,0.0,14.36,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.16,1240.2,1598.5,14.0,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,0.01,0.0,0.0,0.01,0.03,0.46,0.0,12.67,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.49,0.19,1250.8,1737.4,18.1,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,16.7,0.5,0.0,0.0,0.01,0.03,0.01,0.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.01,0.11,1453.8,1701.8,17.0,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,0.46,0.0,0.0,0.01,0.03,0.02,0.0,12.54,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.49,0.19,1241.0,1719.7,18.5,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.16,0.01,0.0,0.0,0.08,0.03,0.01,0.0,12.51,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.51,0.2,1314.2,1775.6,15.3,matminer
0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,5.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.23,0.41,0.0,0.0,0.01,0.04,0.01,0.0,14.36,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.15,1471.0,1939.6,12.5,matminer
0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,5.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.74,0.41,0.0,0.0,0.01,0.04,0.01,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.16,1646.7,2149.7,10.0,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.08,0.01,0.0,0.0,0.02,0.03,0.02,0.0,12.55,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.49,0.2,1258.6,1738.3,16.9,matminer
0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,3.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.64,0.41,0.0,0.0,0.01,0.03,0.01,0.0,14.36,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.15,1233.3,1612.3,14.0,matminer
0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.41,0.41,0.0,0.0,0.01,0.13,0.01,0.0,14.48,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.17,1536.5,2135.9,10.0,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.77,0.21,0.0,0.0,0.08,0.03,0.01,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.94,1.0,0.2,1344.4,1736.9,17.8,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.95,0.33,0.0,0.0,0.01,0.03,0.01,0.0,12.53,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.49,0.19,1218.4,1738.3,19.3,matminer
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.78,0.01,0.0,0.0,0.08,0.03,0.01,0.0,12.61,0.0,0.0,0.0,0.0,0.0,0.0,0.94,1.01,0.22,1383.7,1773.6,16.2,matminer
